method,__init__,2,1
method,get_current_state,3,2
method,get_actions,4,3
method,get_possible_actions,5,4
method,do_action,6,5
method,is_valid_state,7,6
method,reset,8,7
method,is_terminal,9,8
method,set_traps,10,9
method,set_rewards,11,10
method,set_terminals,12,11
method,iterstates,13,12
method,show,14,13
class,Environment:,14,13
method,__init__,2,1
method,init_Q,3,2
method,run,4,3
method,choose_action,5,4
method,action_function,6,5
method,maxQ,7,6
method,argmaxQ,8,7
method,get_steps,9,8
method,show,10,9
