method,__init__,1,28,,,,,
method,Q_to_matrix,1,10,,,,,
method,choose_action,1,19,,,,,
method,action_function,1,10,,,,,
method,run_episode,1,24,,,,,
class,QLearning:,1,135,,,8,,
method,qlearning,1,42,,22.16666667,,,
method,qlearning,2,1,,,,,
method,__init__,2,4,,,,,3
method,getPossibleActions,2,32,,,,,
class,LaberintoCuartosAgente:,2,66,,,5,,
method,do_action,2,28,,16.25,,,
method,do_action,3,1,,,,,
method,__init__,3,3,,,,,
method,start,3,3,,,,,
class,LaberintoCuartosAmbiente:,3,19,,,5,,
method,end,3,11,,4.5,,,
