method,__init__,1,7,,,,,
method,initialize_state,1,9,,,,,
method,get_current_state,1,3,,,,,
method,get_possible_actions,1,13,,,,,
method,do_action,1,20,,,,,
method,reset,1,3,,,,,
class,Envirionment:,1,81,,,8,,
method,is_terminal,1,25,,11.42857143,,,
method,is_terminal,2,1,,,,,
method,__init__,2,9,,,,,2
method,choose_action,2,8,,,,,
method,max_action,2,16,,,,,
method,action_function,2,9,,,,,
method,init_q,2,8,,,,,
method,train,2,18,,,,,
method,show,2,34,,,,,
class,q_learning:,2,110,,,10,,
method,main,2,6,,12.11111111,,,
