method,__init__,1,32,,,
method,get_states,1,3,,,
method,get_current_state,1,3,,,
method,get_possible_actions,1,18,,,2
method,get_next_states,1,16,,,
method,do_action,1,19,,,
method,reset,1,3,,,
method,is_terminal,1,3,,,
method,plot,1,47,,,
method,get_action_test,1,12,,,12
class,Gridworld:,1,211,,19.09090909,
method,plot_action,1,54,,,
method,plot_action,2,0,,,
method,__init__,2,10,,,
method,__initdic__,2,15,,,
method,run,2,25,,,
method,randomAction,2,3,,,
method,step,2,9,,,
class,Learner:,2,92,,,8
method,actions_values,2,29,,13,
