method,__init__,1,4,,,,,
method,__add__,1,3,,,,,
method,__hash__,1,3,,,,,
method,__eq__,1,3,,,9,,
class,Coordinates:,1,21,,3.4,,,
method,__str__,1,4,,,,,
class,Action(Enum):,2,8,,,,,
method,__str__,2,7,,,,,
method,__str__,3,9,,,,,
method,__init__,3,15,,,,,
method,get_actions,3,3,,,,,
method,reset,3,3,,,,,
class,Grid():,3,42,,,,,
method,do_action,3,11,,,,,
method,do_action,4,1,,,,,
method,__init__,4,3,,,,,
class,GridBlockedPaths(Grid):,4,16,,,,,
method,do_action,4,11,,,,,
class,TaxiAction(Enum):,5,9,,,,,
method,do_action,5,8,,,,,
method,do_action,6,9,,,,,
method,__init__,6,9,,,,,
method,get_actions,6,3,,,,,
method,reset,6,6,,19,,,
method,do_action,6,15,,,,,
class,TaxiGrid(GridBlockedPaths):,6,64,,,,,
method,generate_taxi,6,21,,8.466666667,,,
method,generate_taxi,7,7,,,,,
method,__init__,7,11,,,,,
method,action_function,7,4,,,,,
method,choose_action,7,5,,,,,
method,get_qvalue,7,7,,,,,
method,run,7,43,,,,,
method,get_policy_qvalue,7,3,,,,,
method,get_value,7,3,,,,,
class,QLearning:,7,88,,,,,
method,get_policy,7,4,,,,,
method,get_policy,8,4,,,,,8
method,__init__,8,7,,,,,
method,run,8,49,,,,,
method,get_policy_qvalue_passenger,8,3,,,,,
method,get_policy_passenger,8,4,,,,,
class,QLearningTaxi(QLearning):,8,75,,,17,,
method,main,8,7,,10.73333333,,,
