method,show_values,0,18,,,,
method,show_values,1,2,,,,
method,__init__,1,9,,,,
method,define_actions,1,22,,,,
method,get_board,1,3,,,,
method,get_current_state,1,3,,,,2
method,get_possible_actions,1,3,,,,
method,do_action,1,37,,,,
method,init_state,1,9,,,,
class,Gridworld:,1,96,,10,,
method,is_terminal,1,7,10.55555556,,,
method,is_terminal,2,2,,,,
method,__init__,2,13,,,,
method,run_episode,2,14,,,,
method,run_value_iteration,2,10,,,,
method,action_function,2,3,,,,
method,choose_best_action,2,18,,,,
class,QLearning:,2,96,,8,,
method,choose_action,2,35,13.57142857,,,
