method,__init__,1,28,,,,
method,Q_to_matrix,1,10,,,,
method,choose_action,1,19,,,,
method,action_function,1,10,,,,
method,run_episode,1,24,,,,8
class,QLearning:,1,135,,qlearning,22.16666667,
method,qlearning,1,42,,,,
method,qlearning,2,1,,,3,
method,__init__,2,10,,,,
method,crear_ejemplo_gw,2,23,,,,
method,start,2,4,,,,6
class,EnvironmentGridWorld:,2,46,,grid,9,
method,end,2,7,,,,
method,end,3,1,,,,
method,__init__,3,7,,,,
method,get_possible_actions,3,23,,,,21
class,AgentGridWorld:,3,72,,agent,17.75,
method,do_action,3,40,,,,
